ID,Organizations,Organization,Source_Type,P1,P2,Total_Annual,Flow,Disbursement_Type,Parish,Receiving_Type,Parish Source_Type,fips
394,LA Supreme Court (Act405) - LA Judicial College Collections - Criminal Court Costs/Fees,Louisiana Supreme Court (Act 405) - Judicial College Collectiions,Criminal Court Costs/Fees,304,675,979,less,Disbursements to governments & nonprofits,calcasieu,Louisiana Supreme Court,calcasieu Criminal Court Costs/Fees,22019
395,Lake Charles Crime Stoppers - Criminal Court Costs/Fees,Lake Charles Crime Stoppers,Criminal Court Costs/Fees,1256,2762,4018,less,Disbursements to governments & nonprofits,calcasieu,Crimestoppers Organizations,calcasieu Criminal Court Costs/Fees,22019
396,Louisiana Commission on Law Enforcement - Criminal Court Costs/Fees,Louisiana Commission on Law Enforcement,Criminal Court Costs/Fees,1266,2829,4095,less,Disbursements to governments & nonprofits,calcasieu,Louisiana Commission on Law Enforcement,calcasieu Criminal Court Costs/Fees,22019
397,Louisiana State Police Department - Criminal Court Costs/Fees,Louisiana State Police Department,Criminal Court Costs/Fees,3818,10979,14797,less,Disbursements to governments & nonprofits,calcasieu,Louisiana State Police/State Services,calcasieu Criminal Court Costs/Fees,22019
398,Public Defenders Office (Indigent Defenders Board) - Criminal Court Costs/Fees,Public Defenders Office (Indigent Defenders Board),Criminal Court Costs/Fees,28493,62617,91110,less,Disbursements to governments & nonprofits,calcasieu,Parish Indigent/Public Defense,calcasieu Criminal Court Costs/Fees,22019
399,Southwest Louisiana Criminalistics Laboratory - Criminal Court Costs/Fees,Southwest Louisiana Criminalistics Laboratory,Criminal Court Costs/Fees,43044,89191,132235,less,Disbursements to governments & nonprofits,calcasieu,Crime Labs,calcasieu Criminal Court Costs/Fees,22019
400,Traumatic Head and S.C.I. TrustFund - Criminal Court Costs/Fees,Traumatic Head and Spinal Chord Injury Trust Fund,Criminal Court Costs/Fees,3180,5994,9174,less,Disbursements to governments & nonprofits,calcasieu,Traumatic Head and Spinal Chord Injury Trust Fund,calcasieu Criminal Court Costs/Fees,22019
401,Treasurer State of Louisiana - CMIS - Criminal Court Costs/Fees,State of Louisiana Treasury - CMIS,Criminal Court Costs/Fees,1895,4199,6094,less,Disbursements to governments & nonprofits,calcasieu,Louisiana State Treasury,calcasieu Criminal Court Costs/Fees,22019
402,Vinton Police Department - Criminal Court Costs/Fees,Vinton Police Department,Criminal Court Costs/Fees,50,100,150,less,Disbursements to governments & nonprofits,calcasieu,City/Town Police and Government,calcasieu Criminal Court Costs/Fees,22019
403,Westlake Police Department - Criminal Court Costs/Fees,Westlake Police Department,Criminal Court Costs/Fees,0,107,107,less,Disbursements to governments & nonprofits,calcasieu,City/Town Police and Government,calcasieu Criminal Court Costs/Fees,22019
404,Calcasieu Parish Clerk of Court  - Criminal Fines,Calcasieu Parish Clerk of Court,Criminal Fines,16025,23500,39525,less,Disbursements to governments & nonprofits,calcasieu,Parish Clerk of Court,calcasieu Criminal Fines,22019
405,Calcasieu Parish District Attorney  - Criminal Fines,Calcasieu Parish District Attorney,Criminal Fines,43736,64216,107952,less,Disbursements to governments & nonprofits,calcasieu,District Courts,calcasieu Criminal Fines,22019
406,Calcasieu Parish Police Jury  - Criminal Fines,Calcasieu Parish Police Jury,Criminal Fines,123733,181828,305561,less,Disbursements to governments & nonprofits,calcasieu,Police Jury/Police Jury Costs,calcasieu Criminal Fines,22019
407,Criminal Indigent Transcript Fimd (Indigent Defender Board)  - Criminal Fines,Criminal Indigent Transcript Fund (Indigent Defender Board),Criminal Fines,9613,14100,23713,less,Disbursements to governments & nonprofits,calcasieu,Parish Indigent/Public Defense,calcasieu Criminal Fines,22019
408,Family Youth and Commission  - Criminal Fines,Family Youth and Commission,Criminal Fines,6410,9400,15810,less,Disbursements to governments & nonprofits,calcasieu,Miscellaneous,calcasieu Criminal Fines,22019
409,Fish and Wildlife Violation Reward Fund  - Criminal Fines,Fish and Wildlife Violation Reward Fund,Criminal Fines,75,130,205,less,Disbursements to governments & nonprofits,calcasieu,Misc. Funds,calcasieu Criminal Fines,22019
410,Judicial Expense Fund - Judges Administrative  - Criminal Fines,"Judicial Expense Fund, Judges Administrative",Criminal Fines,6410,9400,15810,less,Disbursements to governments & nonprofits,calcasieu,Judicial Expense Funds,calcasieu Criminal Fines,22019
411,LA Comm on Law Enforcemeni  - Criminal Fines,Louisiana Commission on Law Enforcement,Criminal Fines,2564,3760,6324,less,Disbursements to governments & nonprofits,calcasieu,Louisiana Commission on Law Enforcement,calcasieu Criminal Fines,22019
412,LASupremeComt(Act405)-LA Judicial College Collections  - Criminal Fines,Louisiana Supreme Court (Act 405) - Judicial College Collectiions,Criminal Fines,641,940,1581,less,Disbursements to governments & nonprofits,calcasieu,Louisiana Supreme Court,calcasieu Criminal Fines,22019
413,Lake Charles Crime Stoppers  - Criminal Fines,Lake Charles Crime Stoppers,Criminal Fines,2564,3760,6324,less,Disbursements to governments & nonprofits,calcasieu,Crimestoppers Organizations,calcasieu Criminal Fines,22019
414,Louisiana Wildlife and Fisheries  - Criminal Fines,Louisiana Department of Wildlife and Fisheries,Criminal Fines,30,52,82,less,Disbursements to governments & nonprofits,calcasieu,Louisiana Department of Wildlife and Fisheries,calcasieu Criminal Fines,22019
415,Public Defenders Office (Indigent Defenders Board)  - Criminal Fines,Public Defenders Office (Indigent Defenders Board),Criminal Fines,57690,84600,142290,less,Disbursements to governments & nonprofits,calcasieu,Parish Indigent/Public Defense,calcasieu Criminal Fines,22019
416,Southwest Louisiana Criminalistics Laboratory  - Criminal Fines,Southwest Louisiana Criminalistics Laboratory,Criminal Fines,41250,61910,103160,less,Disbursements to governments & nonprofits,calcasieu,Crime Labs,calcasieu Criminal Fines,22019
417,Third Part  - Criminal Fines,Third Part,Criminal Fines,878,2870,3748,less,Disbursements to governments & nonprofits,calcasieu,Miscellaneous,calcasieu Criminal Fines,22019
418,Tramuatic Head and S.C.I. Trust Fund  - Criminal Fines,Traumatic Head and Spinal Chord Injury Trust Fund,Criminal Fines,4450,5635,10085,less,Disbursements to governments & nonprofits,calcasieu,Traumatic Head and Spinal Chord Injury Trust Fund,calcasieu Criminal Fines,22019
419,Treasurer State of Louisiana  - Criminal Fines,State of Louisiana Treasurer,Criminal Fines,150,100,250,less,Disbursements to governments & nonprofits,calcasieu,Louisiana State Treasury,calcasieu Criminal Fines,22019
420,Treasurer State of Louisiana - CMIS  - Criminal Fines,State of Louisiana Treasury - CMIS,Criminal Fines,3846,5640,9486,less,Disbursements to governments & nonprofits,calcasieu,Louisiana State Treasury,calcasieu Criminal Fines,22019
421,Bond Fees,Calcasieu Parish Sheriff,Bond Fees,55757,124048,179805,less,Amounts retained by collection agency,calcasieu,Parish Sheriff,calcasieu ,22019
422,Civil Fees - Cost,Calcasieu Parish Sheriff,Civil Fees - Costs,300564,403141,703705,less,Amounts retained by collection agency,calcasieu,Parish Sheriff,calcasieu Civil Fees - Costs,22019
423,Civil Fees - Commissions,Calcasieu Parish Sheriff,Civil Fees - Commissions,143608,268755,412363,less,Amounts retained by collection agency,calcasieu,Parish Sheriff,calcasieu Civil Fees - Commissions,22019
424,Civil Fees - ???,Calcasieu Parish Sheriff,Civil Fees,37373,42510,79883,less,Amounts retained by collection agency,calcasieu,Parish Sheriff,calcasieu Civil Fees,22019
425,Civil Fees - Tax Collector,Calcasieu Parish Sheriff,Civil Fees - Tax Collector,5313,19235,24548,less,Amounts retained by collection agency,calcasieu,Parish Sheriff,calcasieu Civil Fees - Tax Collector,22019
426,Criminal Court Costs/Fees,Calcasieu Parish Sheriff,Criminal Court Costs/Fees,21877,49321,71198,less,Amounts retained by collection agency,calcasieu,Parish Sheriff,calcasieu Criminal Court Costs/Fees,22019
427,Criminal Fines,Calcasieu Parish Sheriff,Criminal Fines,24543,36053,60596,less,Disbursements to individuals/3rd party collection or processing agencies,calcasieu,Parish Sheriff,calcasieu Criminal Fines,22019
428,Civil Fee Refunds,Individuals - Civil Fee Refunds,Unspecified,63117,72892,136009,less,Disbursements to individuals/3rd party collection or processing agencies,calcasieu,Individuals - Specified,calcasieu Unspecified,22019
429,Bond Fee Refunds,Individuals - Bond Fee Refunds,Unspecified,0,0,0,less,Disbursements to individuals/3rd party collection or processing agencies,calcasieu,Individuals - Specified,calcasieu Unspecified,22019
430,Criminal Court Costs/Fees Refunds,Individuals - Criminal Court Cost/Fee Refunds,Unspecified,475,913,1388,less,Disbursements to individuals/3rd party collection or processing agencies,calcasieu,Individuals - Specified,calcasieu Unspecified,22019
431,Restitution Payments to Individuals (additional detail is not required),Individuals - Restitution,Unspecified,0,0,0,less,Disbursements to individuals/3rd party collection or processing agencies,calcasieu,Individuals - Specified,calcasieu Unspecified,22019
432,Other Disbiusements to Individuals (additional detailis not required),Individuals - Other,Unspecified,1492301,960244,2452545,less,Disbursements to individuals/3rd party collection or processing agencies,calcasieu,Individuals - Unspecified Other,calcasieu Unspecified,22019
433,Payments to 3rd Party Collection/Processing Agencies,3rd Party Collection/Processing Agencies,Unspecified,0,0,0,less,Disbursements to individuals/3rd party collection or processing agencies,calcasieu,Collections/Processing,calcasieu Unspecified,22019
434,Civil Fees (including refundableamounts such as garnishments or advance deposits) ,Calcasieu Parish Sheriff,Civil Fees (including garnishments and advance deposits),2077232,1926539,4003771,more,NAN,calcasieu,Parish Sheriff,calcasieu Civil Fees (including garnishments and advance deposits),22019
435,Bond Fees ,Calcasieu Parish Sheriff,Bond Fees,270512,448709,719221,more,NAN,calcasieu,Parish Sheriff,calcasieu Bond Fees,22019
436,Criminal Court Costs/Fees ,Calcasieu Parish Sheriff,Criminal Court Costs/Fees,331138,627148,958286,more,NAN,calcasieu,Parish Sheriff,calcasieu Criminal Court Costs/Fees,22019
437,Criminal Fines ,Calcasieu Parish Sheriff,Criminal Fines,344638,507905,852543,more,NAN,calcasieu,Parish Sheriff,calcasieu Criminal Fines,22019
438,Other ,Calcasieu Parish Sheriff,Other,831,0,831,more,NAN,calcasieu,Parish Sheriff,calcasieu Other,22019
439,Other Disbursements to Individuals (Settlement to Litigants) ,Individuals - Settlement to Litigants,Unspecified,221056,14547,235603,less,Disbursements to individuals/3rd party collection or processing agencies,caldwell,Individuals - Specified,caldwell Unspecified,22021
440,Payments to 3rd Party Collection/Processing Agencies ,3rd Party Collection/Processing Agencies,Unspecified,150,350,500,less,Disbursements to individuals/3rd party collection or processing agencies,caldwell,Collections/Processing,caldwell Unspecified,22021
441,Caldwell Parish Police Jury - Criminal Court Costs/Fees,Caldwell Parish Police Jury ,Criminal Court Costs/Fees,47692,59186,106878,less,Disbursements to governments & nonprofits,caldwell,Police Jury/Police Jury Costs,caldwell Criminal Court Costs/Fees,22021
442,"Caldwell Parish District Attorney, Criminal Court Costs/Fees",Caldwell Parish District Attorney,Criminal Court Costs/Fees,20796,21182,41978,less,Disbursements to governments & nonprofits,caldwell,District Courts,caldwell Criminal Court Costs/Fees,22021
443,"Caldwell Parish Clerk of Court, Criminal Court Costs/Fees",Caldwell Parish Clerk of Court,Criminal Court Costs/Fees,7749,8921,16670,less,Disbursements to governments & nonprofits,caldwell,Parish Clerk of Court,caldwell Criminal Court Costs/Fees,22021
444,"North Louisiana Crime Lab, Criminal Court Costs/Fees",North Louisiana Crime Laboratory,Criminal Court Costs/Fees,7584,9086,16670,less,Disbursements to governments & nonprofits,caldwell,Crime Labs,caldwell Criminal Court Costs/Fees,22021
445,"37th JDCIndigent Defender Board, CriminalCourt Costs/Fees",37th Judicial District Indigent Defender Board,Criminal Court Costs/Fees,15154,20174,35328,less,Disbursements to governments & nonprofits,caldwell,District Indigent/Public Defense,caldwell Criminal Court Costs/Fees,22021
446,Louisiana Commission on Law Enforcement,Louisiana Commission on Law Enforcement,Unspecified,759,1215,1974,less,Disbursements to governments & nonprofits,caldwell,Louisiana Commission on Law Enforcement,caldwell Unspecified,22021
447,Crime Stoppers,Caldwell Crime Stoppers,Unspecified,0,598,598,less,Disbursements to governments & nonprofits,caldwell,Crimestoppers Organizations,caldwell Unspecified,22021
448,37th JDC Judicial Expense Fund,37th Judicial District Judicial Expense Fund,Unspecified,2535,3960,6495,less,Disbursements to governments & nonprofits,caldwell,District Courts,caldwell Unspecified,22021
449,Caldwell Parish Misdemeanor Probation,Caldwell Parish Misdemeanor Probation,Unspecified,500,600,1100,less,Disbursements to governments & nonprofits,caldwell,Miscellaneous,caldwell Unspecified,22021
450,DAME Program,DARE Program,Unspecified,0,305,305,less,Disbursements to governments & nonprofits,caldwell,DARE,caldwell Unspecified,22021
451,State of Louisiana - Act 250 and Act 562,Louisiana Commission on Law Enforcement (Victims and Training),Unspecified,506,3177,3683,less,Disbursements to governments & nonprofits,caldwell,Louisiana Commission on Law Enforcement,caldwell Unspecified,22021
452,Louisiana Wildlife and Fisheries Littering Fines,Louisiana Department of Wildlife and Fisheries,Fines,15,105,120,less,Disbursements to governments & nonprofits,caldwell,Louisiana Department of Wildlife and Fisheries,caldwell Fines,22021
453,Louisiana Supreme Court,Louisiana Supreme Court,Unspecified,79,125,204,less,Disbursements to governments & nonprofits,caldwell,Louisiana Supreme Court,caldwell Unspecified,22021
454,Louisiana Spinal and Head Injury Trust Fund,Traumatic Head and Spinal Chord Injury Trust Fund,Unspecified,650,660,1310,less,Disbursements to governments & nonprofits,caldwell,Traumatic Head and Spinal Chord Injury Trust Fund,caldwell Unspecified,22021
455,Collection Fee for Collecting/Disbursing to Others Based on Percentage of Collection,Collecting Agency,Unspecified,0,0,0,less,Amounts retained by collection agency,caldwell,Collections/Processing,caldwell Unspecified,22021
456,Collection Fee for Collecting/Disbursing to Others Based on Fixed Amount,Collecting Agency,Unspecified,0,0,0,less,Amounts retained by collection agency,caldwell,Collections/Processing,caldwell Unspecified,22021
457,Service/Collection Fees,Collecting Agency,Service/Collection Fees,0,0,0,less,Amounts retained by collection agency,caldwell,Collections/Processing,caldwell Service/Collection Fees,22021
458,Civil Fees (including refundable amounts such asgarnishments or advance deposits),Caldwell Parish Sheriff,Civil Fees (including garnishments and advance deposits),0,0,0,more,NAN,caldwell,Parish Sheriff,caldwell Civil Fees (including garnishments and advance deposits),22021
459,Bond Fees - 2% Commissions,Caldwell Parish Sheriff,Bond Fees,29729,27442,57171,more,NAN,caldwell,Parish Sheriff,caldwell Bond Fees,22021
